bug_name,buggy_line_key,# of failing Tcs,# of lines executed by failing TCs,# of mutants,# of uncompilable mutants,# of mutans on buggy line,# of uncompilable mutants on buggy line,# of compilable mutants on buggy line,total p2f (all mutants),total f2p (all mutants),# of functions,# of function with same highest met score,met score of highest rank,rank of buggy function (function level) (met),met score of buggy function,# of function with same highest muse score,muse score of highest rank,rank of buggy function (function level) (muse),muse score of buggy function
resize_layer.MUT108.cpp,"opencv_dnn/modules/dnn/src/layers/resize_layer.cpp#ResizeLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#237",6,2825,1240,407,20,0,20,71268,10,1094,1,1.0,1,1.0,1,0.0432900432900432,1,0.0432900432900432
permute_layer.MUT10.cpp,opencv_dnn/modules/dnn/src/layers/permute_layer.cpp#PermuteLayerImpl::PermuteLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#94,78,5349,1086,346,20,0,20,32357,349,1094,1,1.0,1,1.0,1,0.0465306122448979,1,0.0465306122448979
pooling_layer.MUT309.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1032,44,5484,1223,316,18,0,18,70225,1,1094,1,0.1507556722888818,1,0.1507556722888818,1,0.0263157894736842,1,0.0263157894736842
elementwise_layers.MUT276.cpp,opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#CeluFunctor::calculate(float x)#2087,2,1176,1243,452,20,7,13,128237,25,1094,1,0.5,1094,0.0,1,0.02366264059126,1094,0.0
prior_box_layer.MUT123.cpp,"opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#459",3,709,941,230,20,0,20,67225,12,1094,1,1.0,1,1.0,1,0.0439560439560439,1,0.0439560439560439
convolution_layer.MUT119.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#ConvolutionLayerImpl::fuseWeights(const class cv::Mat & w_, const class cv::Mat & b_)#634",2,2211,1183,256,20,4,16,92542,11,1094,1,1.0,1,1.0,1,0.0539215686274509,1,0.0539215686274509
flow_warp_layer.MUT31.cpp,"opencv_dnn/modules/dnn/src/layers/flow_warp_layer.cpp#FlowWarpLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#77",1,353,565,113,20,0,20,137071,1,1094,1,1.0,1,1.0,1,0.0238095238095238,1,0.0238095238095238
tf_graph_simplifier.MUT221.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#ResizeBilinearSubgraph::ResizeBilinearSubgraph()#540,3,773,1274,433,20,5,15,92092,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
onnx_importer.MUT1328.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseEinsum(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3260",13,796,1224,517,13,0,13,195806,47,1094,1,1.0,1,1.0,1,0.0580357142857142,1,0.0580357142857142
pooling_layer.MUT306.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1026,43,5478,1142,335,20,0,20,68455,3,1094,1,0.2156655464068768,1,0.2156655464068768,1,0.0357142857142857,1,0.0357142857142857
recurrent_layers.MUT363.cpp,opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#GRULayerImpl::GRULayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#976,3,1449,1110,349,20,4,16,140082,5,1094,1,1.0,1,1.0,1,0.0490196078431372,1,0.0490196078431372
slice_layer.MUT163.cpp,opencv_dnn/modules/dnn/src/layers/slice_layer.cpp#CropLayerImpl::CropLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#869,6,271,375,82,20,0,20,184538,156,1094,1,1.0,1,1.0,1,0.0127388535031847,1,0.0127388535031847
recurrent_layers.MUT75.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#303",17,2332,1209,325,20,3,17,65277,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
darknet_io.MUT403.cpp,"opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#ReadDarknetFromCfgStream(std::istream & ifile, class cv::dnn::darknet::NetParameter * net)#816",1,344,442,160,20,4,16,62627,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
einsum_layer.MUT172.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::preProcessInputs(const class cv::_InputArray & inputs_arr)#617,13,1201,1219,390,19,4,15,121980,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
onnx_graph_simplifier.MUT126.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#AttentionSubGraph::AttentionSubGraph()#438,1,1567,1062,349,20,10,10,78558,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
pooling_layer.MUT366.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1114,1,507,666,91,4,0,4,152107,1,1094,1,1.0,1,1.0,1,0.1,1,0.1
quantization_utils.MUT8.cpp,"opencv_dnn/modules/dnn/src/int8layers/quantization_utils.cpp#broadcast1D2TargetMat(class cv::Mat & data, const cv::dnn::dnn4_v20240521::MatShape & targetShape, int axis)#33",1,1491,1141,431,20,3,17,123030,1,1094,1,1.0,1,1.0,1,0.0277777777777777,1,0.0277777777777777
caffe_importer.MUT111.cpp,opencv_dnn/modules/dnn/src/caffe/caffe_importer.cpp#CaffeImporter::populateNet(class cv::dnn::dnn4_v20240521::Net dstNet)#407,4,162,1087,251,20,0,20,156244,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
reshape_layer.MUT107.cpp,"opencv_dnn/modules/dnn/src/layers/reshape_layer.cpp#ReshapeLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#325",45,5457,1136,371,20,3,17,77885,225,1094,1,1.0,1,1.0,1,0.0553097345132743,1,0.0553097345132743
einsum_layer.MUT317.cpp,"opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::pairwiseOperandProcess(const class cv::Mat & left, const cv::dnn::dnn4_v20240521::MatShape & leftShapeOverride, const class cv::Mat & right, const cv::dnn::dnn4_v20240521::MatShape & rightShapeOverride, const cv::dnn::dnn4_v20240521::MatShape & reduceDims, _Bool isFinalPair)#1061",7,1236,1024,354,20,0,20,148682,10,1094,1,1.0,1,1.0,1,0.0303030303030303,1,0.0303030303030303
onnx_importer.MUT371.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseSlice(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1259",15,3218,1150,362,20,3,17,73903,66,1094,1,1.0,1,1.0,1,0.0547263681592039,1,0.0547263681592039
reduce_layer.MUT135.cpp,"opencv_dnn/modules/dnn/src/layers/reduce_layer.cpp#ReduceInvoker::ReduceInvoker<Op>(const class cv::Mat & src_, class cv::Mat & dst_, int axes_)#380",5,2992,1303,351,20,3,17,90383,27,1094,1,1.0,1,1.0,1,0.0535714285714285,1,0.0535714285714285
softmax_layer.MUT69.cpp,opencv_dnn/modules/dnn/src/int8layers/softmax_layer.cpp#SoftmaxInt8Invoker::operator()(const class cv::Range & r)#283,5,2634,1129,467,0,0,0,87076,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
eltwise_layer.MUT204.cpp,opencv_dnn/modules/dnn/src/layers/eltwise_layer.cpp#EltwiseInvoker::operator()(const class cv::Range & r)#552,8,533,799,160,20,4,16,240974,379,1094,1,1.0,1,1.0,1,0.0113870515067625,1,0.0113870515067625
attention_layer.MUT34.cpp,"opencv_dnn/modules/dnn/src/layers/attention_layer.cpp#AttentionLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#93",2,1263,1155,413,20,0,20,180855,89,1094,2,0.7071067811865475,1094,0.0,1,0.0139651155344731,1094,0.0
concat_layer.MUT65.cpp,"opencv_dnn/modules/dnn/src/layers/concat_layer.cpp#ConcatLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#290",5,2870,1349,499,20,0,20,120354,39,1094,1,1.0,1,1.0,1,0.0428571428571428,1,0.0428571428571428
darknet_io.MUT145.cpp,opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#setLayersParams::setSoftmax()#368,1,122,1071,351,10,6,4,191834,0,1094,1094,0.0,1094,0.0,1093,0.0,1093,0.0
softmax_layer.MUT103.cpp,"opencv_dnn/modules/dnn/src/int8layers/softmax_layer.cpp#SoftMaxLayerInt8Impl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#374",5,2766,1114,373,0,0,0,96248,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
tf_graph_simplifier.MUT45.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#BatchNormNoGammaSubgraph::BatchNormNoGammaSubgraph()#180,2,1302,1061,385,20,6,14,87093,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
recurrent_layers.MUT209.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#559",3,2149,1180,383,20,0,20,78064,581,1094,1,1.0,1,1.0,1,0.0032178874724176,1,0.0032178874724176
torch_importer.MUT107.cpp,"opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchTensor(int indexTensor, int typeTensor)#428",26,361,551,127,20,0,20,46173,255,1094,1,1.0,1,1.0,1,0.0442708333333333,1,0.0442708333333333
tf_graph_simplifier.MUT446.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#sortByExecutionOrder(tensorflow::GraphDef & net)#1022,148,2917,1101,365,20,1,19,67874,898,1094,1,1.0,1,1.0,1,0.0499443826473859,1,0.0499443826473859
tf_importer.MUT56.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#setStrides(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const tensorflow::NodeDef & layer)#323",31,3935,1303,359,20,0,20,82533,82,1094,1,0.915810939779251,1,0.915810939779251,1,0.0470453241537578,1,0.0470453241537578
pooling_layer.MUT216.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#893,1,649,1060,191,20,1,19,100532,0,1094,1094,0.0,1094,0.0,1092,0.0,1092,0.0
nary_eltwise_layers.MUT149.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::binary_forward_impl(int ndims, const int & shape, const char * data1, const int & step1, const char * data2, const int & step2, char * data, const int & step, const Functor & op)#381",3,1802,1136,330,20,1,19,123090,41,1094,1,1.0,1,1.0,1,0.0166666666666666,1,0.0166666666666666
pooling_layer.MUT304.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1024,43,5485,1239,361,20,0,20,64713,12,1094,1,0.4313310928137536,1,0.4313310928137536,1,0.0439560439560439,1,0.0439560439560439
correlation_layer.MUT94.cpp,"opencv_dnn/modules/dnn/src/layers/correlation_layer.cpp#CorrelationLayerImpl::correlationKernelSubtraction(const class cv::Mat & input0, const class cv::Mat & input1, class cv::Mat & output, int item)#162",1,426,797,133,20,2,18,157964,1,1094,1,1.0,1,1.0,1,0.0263157894736842,1,0.0263157894736842
convolution_layer.MUT445.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#DeConvolutionLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#2048",7,2745,1292,389,20,6,14,80186,7,1094,1,1.0,1,1.0,1,0.0583333333333333,1,0.0583333333333333
recurrent_layers.MUT321.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#RNNLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays )#884",2,111,1106,272,20,0,20,187236,35,1094,1,1.0,1,1.0,1,0.0158730158730158,1,0.0158730158730158
prior_box_layer.MUT127.cpp,"opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#468",2,709,917,222,20,0,20,58400,13,1094,1,1.0,1,1.0,1,0.0306122448979591,1,0.0306122448979591
permute_layer.MUT58.cpp,opencv_dnn/modules/dnn/src/layers/permute_layer.cpp#PermuteInvoker::operator()(const class cv::Range & r)#258,24,4246,1169,336,20,2,18,62632,8,1094,1,0.3535533905932738,1,0.3535533905932738,1,0.0292397660818713,1,0.0292397660818713
onnx_graph_simplifier.MUT231.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#GeluSubGraph::match(const Ptr<class cv::dnn::ImportGraphWrapper> & net, int nodeId, int & matchedNodesIds)#695",1,1152,1036,394,4,0,4,195811,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
torch_importer.MUT284.cpp,opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchObject(int index)#789,1,505,769,265,20,2,18,55862,0,1094,1094,0.0,1094,0.0,1093,0.0,1093,0.0
recurrent_layers.MUT52.cpp,opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::LSTMLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#230,1,1582,1187,400,20,2,18,90977,5,1094,1,1.0,1,1.0,1,0.043859649122807,1,0.043859649122807
tf_importer.MUT745.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseFusedBatchNorm(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#1950",12,3333,1191,415,20,10,10,59727,12,1094,1,1.0,1,1.0,1,0.0839160839160839,1,0.0839160839160839
reduce_layer.MUT7.cpp,opencv_dnn/modules/dnn/src/layers/reduce_layer.cpp#ReduceLayerImpl::ReduceLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#24,16,2160,1223,450,11,4,7,95842,60,1094,1,0.968245836551854,1,0.968245836551854,1,0.1229508196721311,1,0.1229508196721311
prior_box_layer.MUT142.cpp,"opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#491",1,459,750,178,20,0,20,31670,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
onnx_graph_simplifier.MUT632.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#BatchNormalizationSubgraph1::BatchNormalizationSubgraph1()#1633,1,1488,1143,361,20,7,13,148747,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
prior_box_layer.MUT37.cpp,opencv_dnn/modules/dnn/src/layers/prior_box_layer.cpp#PriorBoxLayerImpl::getVariance(const class cv::dnn::dnn4_v20240521::LayerParams & params)#176,2,461,792,163,16,5,11,84892,0,1094,1094,0.0,1094,0.0,1093,0.0,1093,0.0
gemm_layer.MUT58.cpp,"opencv_dnn/modules/dnn/src/layers/gemm_layer.cpp#GemmLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr)#155",1,1077,1082,390,20,0,20,150798,9,1094,1,1.0,1,1.0,1,0.0428571428571428,1,0.0428571428571428
softmax_layer.MUT50.cpp,opencv_dnn/modules/dnn/src/int8layers/softmax_layer.cpp#SoftmaxInt8Invoker::operator()(const class cv::Range & r)#255,6,2645,1011,316,0,0,0,65361,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
onnx_importer.MUT641.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseLeakyRelu(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1816",3,1043,1109,412,20,8,12,170492,3,1094,1,1.0,1,1.0,1,0.0576923076923076,1,0.0576923076923076
convolution_layer.MUT23.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#BaseConvolutionLayerImpl::finalize(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr)#134",4,1893,1214,354,20,0,20,110637,27,1094,1,1.0,1,1.0,1,0.0459183673469387,1,0.0459183673469387
einsum_layer.MUT330.cpp,"opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::pairwiseOperandProcess(const class cv::Mat & left, const cv::dnn::dnn4_v20240521::MatShape & leftShapeOverride, const class cv::Mat & right, const cv::dnn::dnn4_v20240521::MatShape & rightShapeOverride, const cv::dnn::dnn4_v20240521::MatShape & reduceDims, _Bool isFinalPair)#1103",7,1300,1174,443,20,3,17,161880,0,1094,1094,0.0,1094,0.0,1093,0.0,1093,0.0
nary_eltwise_layers.MUT57.cpp,opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseHelper::prepare_for_broadcast_op()#155,7,1211,1146,391,20,2,18,107947,33,1094,1,1.0,1,1.0,1,0.0510835913312693,1,0.0510835913312693
einsum_layer.MUT40.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#DiagonalDataAssignment(class cv::Mat input)#132,2,1243,1025,347,20,0,20,144444,0,1094,1094,0.0,1094,0.0,1093,0.0,1093,0.0
arg_layer.MUT23.cpp,"opencv_dnn/modules/dnn/src/layers/arg_layer.cpp#ArgLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#94",2,1645,1228,522,20,3,17,110120,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
tf_graph_simplifier.MUT386.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#RemoveIdentityOps(tensorflow::GraphDef & net)#866,20,2862,1227,253,20,0,20,62719,11,1094,1,0.3162277660168379,1,0.3162277660168379,1,0.0757575757575757,1,0.0757575757575757
onnx_graph_simplifier.MUT544.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#ExtractScalesSubgraph::ExtractScalesSubgraph()#1468,2,1420,1086,372,20,4,16,82392,18,1094,1,1.0,1,1.0,1,0.0557275541795665,1,0.0557275541795665
pooling_layer.MUT215.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#892,1,649,914,218,20,2,18,129283,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
tf_importer.MUT77.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#setKSize(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const tensorflow::NodeDef & layer)#373",23,3330,1162,345,20,0,20,85381,183,1094,1,1.0,1,1.0,1,0.0506775650127275,2,0.0401138716356107
recurrent_layers.MUT159.cpp,"opencv_dnn/modules/dnn/src/layers/recurrent_layers.cpp#LSTMLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#480",12,1976,1104,310,20,6,14,58438,1,1094,1,0.2886751345948129,1,0.2886751345948129,1,0.0333333333333333,1,0.0333333333333333
onnx_importer.MUT1637.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseQAvgPool(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#3800",1,1242,879,332,20,6,14,107856,3,1094,1,1.0,1,1.0,1,0.05,1,0.05
nary_eltwise_layers.MUT234.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::trinary_forward_impl(int ndims, const int & shape, const char * data1, const int & step1, const char * data2, const int & step2, const char * data3, const int & step3, char * data, const int & step, const Functor & op)#545",1,1245,1124,457,20,0,20,140324,16,1094,1,1.0,1,1.0,1,0.0448179271708683,1,0.0448179271708683
flow_warp_layer.MUT43.cpp,"opencv_dnn/modules/dnn/src/layers/flow_warp_layer.cpp#FlowWarpLayerImpl::forward(cv::InputArrayOfArrays inputs_arr, cv::OutputArrayOfArrays outputs_arr, cv::OutputArrayOfArrays internals_arr)#93",1,353,645,112,20,0,20,139081,0,1094,1094,0.0,1094,0.0,1093,0.0,1093,0.0
onnx_importer.MUT461.cpp,opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#transformBlobs(int & blobs)#1442,15,1576,1129,371,20,0,20,88048,15,1094,1,1.0,1,1.0,1,0.0446428571428571,1,0.0446428571428571
pooling_layer.MUT298.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#1013,18,3240,1215,414,20,0,20,92840,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
einsum_layer.MUT282.cpp,opencv_dnn/modules/dnn/src/layers/einsum_layer.cpp#LayerEinsumImpl::processEquation(const int & inputs)#931,2,1111,1268,479,20,7,13,171018,2,1094,1,1.0,1,1.0,1,0.0476190476190476,1,0.0476190476190476
torch_importer.MUT195.cpp,opencv_dnn/modules/dnn/src/torch/torch_importer.cpp#TorchImporter::readTorchObject(int index)#610,1,527,652,184,6,1,5,99071,3,1094,1,1.0,1,1.0,1,0.0712779576775359,1,0.0712779576775359
onnx_importer.MUT398.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_importer.cpp#ONNXImporter::parseSlice(class cv::dnn::dnn4_v20240521::LayerParams & layerParams, const opencv_onnx::NodeProto & node_proto)#1312",21,1865,1139,393,20,10,10,72851,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
tf_graph_simplifier.MUT516.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#removePhaseSwitches(tensorflow::GraphDef & net)#1148,5,2375,1126,315,20,6,14,104010,0,1094,1094,0.0,1094,0.0,1093,0.0,1093,0.0
tf_graph_simplifier.MUT264.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#UpsamplingKerasSubgraph::finalize(tensorflow::GraphDef & net, tensorflow::NodeDef * fusedNode, int & inputNodes)#627",1,1043,1163,506,20,3,17,48960,7,1094,1,1.0,1,1.0,1,0.0486111111111111,1,0.0486111111111111
convolution_layer.MUT60.cpp,"opencv_dnn/modules/dnn/src/layers/convolution_layer.cpp#ConvolutionLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#369",8,1593,1195,409,20,6,14,142689,22,1094,1,1.0,1,1.0,1,0.0463768115942029,1,0.0463768115942029
attention_layer.MUT5.cpp,"opencv_dnn/modules/dnn/src/layers/attention_layer.cpp#packWeight(size_t num_heads, size_t head_size, size_t input_hidden_size, const float * weight_data, size_t hidden_size, int & packed_weight, const struct cv::dnn::FastGemmOpt & opt)#21",2,1424,1323,452,20,4,16,132024,55,1094,1,0.8164965809277261,1094,0.0,1,0.0187500910375366,1094,0.0
darknet_io.MUT296.cpp,opencv_dnn/modules/dnn/src/darknet/darknet_io.cpp#setLayersParams::setSAM(int from)#622,1,173,1291,437,9,5,4,154020,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
onnx_graph_simplifier.MUT511.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#ExpandSubgraph::match(const Ptr<class cv::dnn::ImportGraphWrapper> & net, int nodeId, int & matchedNodesIds)#1374",3,1437,1141,390,20,5,15,121414,150,1094,3,1.0,3,1.0,1,0.0142611355859802,5,0.0029801324503311
pooling_layer.MUT191.cpp,opencv_dnn/modules/dnn/src/layers/pooling_layer.cpp#PoolingInvoker::operator()(const class cv::Range & r)#861,81,5796,1223,242,20,1,19,57872,363,1094,1,1.0,1,1.0,1,0.0473901098901098,1,0.0473901098901098
attention_layer.MUT11.cpp,opencv_dnn/modules/dnn/src/layers/attention_layer.cpp#AttentionLayerImpl::AttentionLayerImpl(const class cv::dnn::dnn4_v20240521::LayerParams & params)#41,3,1217,1297,437,17,1,16,195783,75,1094,1,1.0,1,1.0,1,0.0168109090505039,5,0.0023219814241486
onnx_graph_simplifier.MUT516.cpp,"opencv_dnn/modules/dnn/src/onnx/onnx_graph_simplifier.cpp#ExpandSubgraph::match(const Ptr<class cv::dnn::ImportGraphWrapper> & net, int nodeId, int & matchedNodesIds)#1387",3,1439,1042,344,20,0,20,110768,52,1094,1,1.0,1094,0.0,1,0.0178692539342111,1094,0.0
gemm_layer.MUT15.cpp,"opencv_dnn/modules/dnn/src/layers/gemm_layer.cpp#GemmLayerImpl::getMemoryShapes(const int & inputs, const int requiredOutputs, int & outputs, int & internals)#52",23,3726,1396,423,20,2,18,75981,102,1094,1,1.0,1,1.0,1,0.0521205927439959,1,0.0521205927439959
tf_importer.MUT754.cpp,"opencv_dnn/modules/dnn/src/tensorflow/tf_importer.cpp#TFImporter::parseConv2DBackpropInput(tensorflow::GraphDef & net, const tensorflow::NodeDef & layer, class cv::dnn::dnn4_v20240521::LayerParams & layerParams)#1978",2,687,1265,504,20,1,19,49820,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
nary_eltwise_layers.MUT130.cpp,"opencv_dnn/modules/dnn/src/layers/nary_eltwise_layers.cpp#NaryEltwiseLayerImpl::binary_forward_impl(int ndims, const int & shape, const char * data1, const int & step1, const char * data2, const int & step2, char * data, const int & step, const Functor & op)#360",42,5151,1174,325,20,1,19,49367,368,1094,1,0.5773502691896257,1,0.5773502691896257,1,0.0047425474254742,1,0.0047425474254742
fast_norm.MUT54.cpp,"opencv_dnn/modules/dnn/src/layers/cpu_kernels/fast_norm.cpp#fastNorm(const class cv::Mat & input, const class cv::Mat & scale, const class cv::Mat & bias, class cv::Mat & output, float epsilon, size_t normalized_axis)#97",10,1071,1097,433,20,8,12,118807,12,1094,1,1.0,1,1.0,1,0.0710059171597633,1,0.0710059171597633
elementwise_layers.MUT500.cpp,opencv_dnn/modules/dnn/src/layers/elementwise_layers.cpp#ChannelsPReLULayer::create(const class cv::dnn::dnn4_v20240521::LayerParams & params)#3145,1,1097,1138,374,18,4,14,86778,0,1094,1094,0.0,1094,0.0,1094,0.0,1094,0.0
tf_graph_simplifier.MUT278.cpp,opencv_dnn/modules/dnn/src/tensorflow/tf_graph_simplifier.cpp#SoftMaxSlimSubgraph::SoftMaxSlimSubgraph()#658,142,2771,1113,364,20,13,7,85998,702,1094,1,1.0,1,1.0,1,0.1248221906116643,1,0.1248221906116643
